Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6493295337b2ef746fa7671e,5c376ea0eecc440001c58889,APPROVED,2023-06-21T16:46:16.242000Z,2023-06-21T17:01:22.310000Z,2023-06-22T21:16:04.739000,2023-06-21T17:01:22.837855Z,907,C92BA3A3,3847,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64932957ea809716d331b068,55b47001fdf99b615b12d66c,APPROVED,2023-06-21T16:46:20.982000Z,2023-06-21T16:51:10.778000Z,2023-06-22T21:16:04.873000,2023-06-21T16:51:11.291734Z,290,C92BA3A3,2700,63,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6493295ec36579ef658a1817,5b894987e79bf50001e1ff95,APPROVED,2023-06-21T16:46:28.977000Z,2023-06-21T16:57:58.577000Z,2023-06-22T21:18:56.627000,2023-06-21T16:57:59.121593Z,690,C92BA3A3,3571,50,Female,White,United States,United States,United States,English,No,Full-Time
6493296061851a5115d6700a,5fc134c704e715129eb5d720,APPROVED,2023-06-21T16:46:28.195000Z,2023-06-21T16:51:10.035000Z,2023-06-22T21:18:56.790000,2023-06-21T16:51:10.667392Z,282,C92BA3A3,1306,33,Female,White,United States,United States,United States,English,No,Full-Time
6493296141f0d3b30d9c0583,58e76dbe3b2e1800012be43a,APPROVED,2023-06-21T16:46:28.123000Z,2023-06-21T16:50:18.612000Z,2023-06-22T21:18:56.940000,2023-06-21T16:50:19.410097Z,231,C92BA3A3,1889,44,Female,White,United States,United States,United States,English,No,Full-Time
649329628f95e0347e8a1876,632a385defc440ca225a32b4,APPROVED,2023-06-21T16:46:31.980000Z,2023-06-21T16:51:40.471000Z,2023-06-22T21:16:05.021000,2023-06-21T16:51:41.148013Z,309,C92BA3A3,1779,28,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6493296707e8217ce0a766fd,6111a1893c0daa13e23ab15a,APPROVED,2023-06-21T16:46:35.307000Z,2023-06-21T16:52:59.706000Z,2023-06-22T21:16:05.159000,2023-06-21T16:53:00.641850Z,385,C92BA3A3,1761,DATA_EXPIRED,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
64932967365e9381f59c0534,6400d98030c52020eabfd538,APPROVED,2023-06-21T16:46:34.243000Z,2023-06-21T16:53:52.867000Z,2023-06-22T21:18:57.128000,2023-06-21T16:53:53.545258Z,439,C92BA3A3,922,47,Female,White,United States,United States,United States,English,No,Full-Time
649329676e0e4b50798f462c,62a74fec726aac54b9e43d75,APPROVED,2023-06-21T16:46:35.706000Z,2023-06-21T16:56:57.481000Z,2023-06-22T21:16:05.292000,2023-06-21T16:56:58.022788Z,622,C92BA3A3,2113,64,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
649329686c2fe02dab736c03,5608a73fd7def20012b7389d,APPROVED,2023-06-21T16:46:35.947000Z,2023-06-21T16:50:49.667000Z,2023-06-22T21:16:05.432000,2023-06-21T16:50:50.880912Z,254,C92BA3A3,5376,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
